Simulation Number,f0,beta,r,Lx,nx,ny,sigma_f,bc_fac,nu_hyper,n_hyper
83,2.0,4.0,0.0023,6.283185307179586,512.0,512.0,0.002,0.0,9e-15,6.0
84,2.0,4.0,0.00087,6.283185307179586,512.0,512.0,0.002,0.0,9e-15,6.0
85,2.0,4.0,0.00023,6.283185307179586,512.0,512.0,0.002,0.0,9e-15,6.0
116,2.0,4.0,0.00087,18.84955592153876,2048.0,2048.0,0.002,0.0,9e-15,6.0
153,2.0,2.66,0.0023,3.141592741,300.0,300.0,0.002,0.0,9e-15,6.0
154,2.0,2.66,0.0023,2.09439516,170.0,170.0,0.002,0.0,9e-15,6.0
210,2.0,0.66,0.0023,6.2831855,1024.0,1024.0,0.02,0.0,9e-15,6.0
309,2.0,1.0,0.01234567901234,94.247779607,512.0,512.0,1.0,0.0,0.00390625,4.0
610,2.0,1.0,0.000771604,94.2477796,512.0,512.0,1.0,0.0,0.00077160493,4.0
317,2.0,1.0,0.00390625,251.327412287,1024.0,1024.0,1.0,0.0,0.00077160493827,4.0
318,2.0,1.0,0.00390625,359.03916041,2048.0,2048.0,1.0,0.0,0.00077160493827,4.0
319,2.0,1.0,0.00390625,502.65482457,2048.0,2048.0,1.0,0.0,0.00077160493827,4.0
105,2.0,4.0,0.0023,9.42477822303772,768.0,768.0,0.002,0.0,9e-15,6.0
106,2.0,4.0,0.0023,12.566370964050293,1024.0,1024.0,0.002,0.0,9e-15,6.0
107,2.0,4.0,0.00087,9.42477796076938,768.0,768.0,0.002,0.0,9e-15,6.0
108,2.0,4.0,0.00087,12.566370614359172,1024.0,1024.0,0.002,0.0,9e-15,6.0
109,2.0,4.0,0.00087,4.71238911151886,384.0,384.0,0.002,0.0,9e-15,6.0
